week,device,event_count,unique_users,engagement_per_user
2014-18,"acer aspire desktop",71,10,7.1000
2014-18,"acer aspire notebook",215,21,10.2381
2014-18,"amazon fire phone",84,4,21.0000
2014-18,"asus chromebook",286,23,12.4348
2014-18,"dell inspiron desktop",198,21,9.4286
2014-18,"dell inspiron notebook",569,49,11.6122
2014-18,"hp pavilion desktop",141,15,9.4000
2014-18,"htc one",192,16,12.0000
2014-18,"ipad air",358,30,11.9333
2014-18,"ipad mini",229,21,10.9048
2014-18,"iphone 4s",219,21,10.4286
2014-18,"iphone 5",774,70,11.0571
2014-18,"iphone 5s",512,45,11.3778
2014-18,"kindle fire",64,6,10.6667
2014-18,"lenovo thinkpad",858,90,9.5333
2014-18,"mac mini",64,8,8.0000
2014-18,"macbook air",538,57,9.4386
2014-18,"macbook pro",1705,154,11.0714
2014-18,"nexus 10",145,16,9.0625
2014-18,"nexus 5",452,43,10.5116
2014-18,"nexus 7",185,20,9.2500
2014-18,"nokia lumia 635",137,19,7.2105
2014-18,"samsumg galaxy tablet",71,8,8.8750
2014-18,"samsung galaxy note",117,7,16.7143
2014-18,"samsung galaxy s4",519,56,9.2679
2014-18,"windows surface",87,10,8.7000
2014-19,"acer aspire desktop",300,26,11.5385
2014-19,"acer aspire notebook",386,34,11.3529
2014-19,"amazon fire phone",179,9,19.8889
2014-19,"asus chromebook",498,42,11.8571
2014-19,"dell inspiron desktop",700,58,12.0690
2014-19,"dell inspiron notebook",931,78,11.9359
2014-19,"hp pavilion desktop",372,37,10.0541
2014-19,"htc one",176,19,9.2632
2014-19,"ipad air",537,52,10.3269
2014-19,"ipad mini",296,29,10.2069
2014-19,"iphone 4s",509,47,10.8298
2014-19,"iphone 5",1336,114,11.7193
2014-19,"iphone 5s",809,70,11.5571
2014-19,"kindle fire",266,26,10.2308
2014-19,"lenovo thinkpad",1828,155,11.7935
2014-19,"mac mini",156,12,13.0000
2014-19,"macbook air",1643,119,13.8067
2014-19,"macbook pro",3405,248,13.7298
2014-19,"nexus 10",372,30,12.4000
2014-19,"nexus 5",937,73,12.8356
2014-19,"nexus 7",274,29,9.4483
2014-19,"nokia lumia 635",347,34,10.2059
2014-19,"samsumg galaxy tablet",79,11,7.1818
2014-19,"samsung galaxy note",143,15,9.5333
2014-19,"samsung galaxy s4",1092,80,13.6500
2014-19,"windows surface",121,10,12.1000
2014-20,"acer aspire desktop",252,22,11.4545
2014-20,"acer aspire notebook",399,40,9.9750
2014-20,"amazon fire phone",149,12,12.4167
2014-20,"asus chromebook",286,26,11.0000
2014-20,"dell inspiron desktop",426,36,11.8333
2014-20,"dell inspiron notebook",1197,82,14.5976
2014-20,"hp pavilion desktop",390,40,9.7500
2014-20,"htc one",307,32,9.5938
2014-20,"ipad air",602,53,11.3585
2014-20,"ipad mini",386,37,10.4324
2014-20,"iphone 4s",506,40,12.6500
2014-20,"iphone 5",1190,113,10.5310
2014-20,"iphone 5s",986,77,12.8052
2014-20,"kindle fire",257,20,12.8500
2014-20,"lenovo thinkpad",2073,176,11.7784
2014-20,"mac mini",260,19,13.6842
2014-20,"macbook air",1312,110,11.9273
2014-20,"macbook pro",3076,261,11.7854
2014-20,"nexus 10",235,25,9.4000
2014-20,"nexus 5",969,84,11.5357
2014-20,"nexus 7",356,41,8.6829
2014-20,"nokia lumia 635",215,22,9.7727
2014-20,"samsumg galaxy tablet",66,6,11.0000
